POINTNUM,BAYNUM,POINTNAME,LAT,LON,Hg,Pv,HgPupSurveySite,PvPupSurveySite
180,5,Shelldrake Island,44.52901667,-67.68776667,,Y,,Y
396,9,Shingle Island Ledge,44.15423167,-68.58082667,,Y,,Y
395,9,Shingle Island Ledge East,44.15919167,-68.572135,,Y,,Y
397,9,Shingle Island Ledge West,44.15523667,-68.58961667,,Y,,Y
495,11,Ship and Barges Ledge,44.22675,-68.43247833,,Y,,Y
293,7,Ship Harbor Ledge,44.22466667,-68.31686667,,Y,,Y
294,7,Shooting Ledge,44.46713333,-68.26973333,,Y,,Y
531,12,Shooting Rock,43.536425,-70.30331167,,Y,,Y
602,13,Sister Island Ledges,43.819955,-70.038875,,Y,,Y
601,13,Sisters 1,43.81528333,-70.04105667,,Y,,Y
295,7,Skillings Ledge,44.5007,-68.27455,,Y,,Y
834,18,Sloop Island,44.20645,-68.8127,,Y,,Y
836,18,Sloop Island Ledge 2,44.20595,-68.8179,,Y,,Y
835,18,Sloop Island Rock,44.20911667,-68.8137,,Y,,Y
603,26,Sloop Ledges,43.75581833,-69.94667167,,Y,,Y
398,9,Smuttynose Island 1,44.22108167,-68.52188333,,Y,,Y
604,13,Snow Island Southeast,43.81432292,-69.91098633,,Y,,Y
12,5,South Beach,41.61,-69.98166667,Y,,,
496,11,South Ledge,44.402815,-68.487435,,Y,,Y
457,10,South Popplestone Ledge,44.09953667,-68.56653667,,Y,,Y
605,13,South Whaleboat,43.74186167,-70.06189833,,Y,,Y
762,17,Southeast Breaker,43.84466667,-69.17218333,Y,Y,,Y
399,9,Southeast Harbor,44.19779833,-68.625285,,Y,,Y
400,9,Southern Mark Island,44.121135,-68.57293333,,Y,,Y
401,9,Southern Mark Island Ledge,44.13207167,-68.57832833,Y,Y,,Y
766,17,Southern Triangles,43.90058333,-69.06756667,,Y,,Y
532,12,Southwest Ledge,43.00323,-70.60870833,,Y,,Y
767,17,Southwest Ledge 1,43.817,-68.903,Y,Y,,Y
606,13,Sow and Pigs,43.80529333,-70.0618,,Y,,Y
921,20,Sparks Island Ledge,44.44482,-68.72622833,,Y,,Y
402,9,Sparrow Island,44.11587667,-68.69382333,,Y,,Y
403,9,Sparrow Island Ledge 1,44.11465333,-68.69602,Y,Y,,Y
404,9,Sparrow Island Ledge 2,44.11638167,-68.703515,Y,Y,,Y
981,22,Spaulding Island Rock,44.03176667,-69.11050667,,Y,,Y
133,4,Spectacle Island 1,44.50488333,-67.56967333,,Y,,Y
837,18,Spectacle Island 4,44.30681667,-68.78031667,,Y,,Y
134,4,Spectacle Island Ledge 1,44.50575,-67.57470667,,Y,,Y
34,1,Spectacle Island Ledge 2,44.91696,-67.04406667,Y,Y,,Y
982,22,Spectacles,43.97651667,-69.18403333,Y,Y,,Y
463,23,Spirit Ledges,44.08830167,-68.52328333,Y,Y,,Y
